Artist	Image	English Caption	Korean Caption
Claude_Monet	Claude_Monet_25.jpg	a street with a church in the snow	눈 속에 교회가 있는 거리
Claude_Monet	Claude_Monet_26.jpg	a painting of a train station	기차역 그림
Claude_Monet	Claude_Monet_27.jpg	a painting of a city by the sea	바다 옆의 한 도시의 그림
Claude_Monet	Claude_Monet_28.jpg	the cliffs at painting by painting artist	그림 예술가들의 그림에 대한 절벽
Claude_Monet	Claude_Monet_29.jpg	a painting of a mountain and a tree on a hill	산 그림과 언덕에 있는 나무 그림
Claude_Monet	Claude_Monet_30.jpg	a painting of a blue sky and clouds over a lake	호수 위에 파란 하늘과 구름을 그린 그림
Claude_Monet	Claude_Monet_31.jpg	a city on the beach painting claude monet a city on the beach	해변 그림에 있는 도시가 해변에 있는 도시를 모니터링하고 있다
Claude_Monet	Claude_Monet_32.jpg	an oil painting of an apple tree in a field	밭에 있는 사과나무의 유화
Claude_Monet	Claude_Monet_33.jpg	a painting of a river with a boat in it	그 안에 보트가 있는 강의 그림
Claude_Monet	Claude_Monet_34.jpg	a painting of a field with two trees	나무 두 그루의 밭 그림
Claude_Monet	Claude_Monet_35.jpg	a painting of a river with a boat in it	그 안에 보트가 있는 강의 그림
Claude_Monet	Claude_Monet_36.jpg	a tree in a field by painting artist	화가의 밭에 있는 나무
Claude_Monet	Claude_Monet_37.jpg	a woman sitting in a garden working on a loom	정원에 앉아 있는 여자가 산책로를 하고 있다
Claude_Monet	Claude_Monet_38.jpg	a painting of a boat in the water	물속에 있는 보트 그림
Claude_Monet	Claude_Monet_39.jpg	a painting of a vase with flowers on a table	테이블에 꽃이 있는 꽃병 그림
Claude_Monet	Claude_Monet_40.jpg	a painting of three women standing on a field	밭에 서 있는 세 여자의 그림
Claude_Monet	Claude_Monet_41.jpg	a painting of a field with trees and clouds	나무와 구름이 있는 밭의 그림
Claude_Monet	Claude_Monet_42.jpg	a painting of a village with a hill in the background	배경에 언덕이 있는 마을의 그림
Claude_Monet	Claude_Monet_43.jpg	a painting of a basket of fruit on a table	탁자 위에 과일 한 그림
Claude_Monet	Claude_Monet_44.jpg	a painting of a river with boats and a city in the distance	보트와 도시가 거리에 있는 강의 그림
Claude_Monet	Claude_Monet_45.jpg	a painting of water lilies in a vase	꽃병에 물을 담은 그림
Claude_Monet	Claude_Monet_46.jpg	a lake with trees and a mountain in the background	나무와 산이 있는 호수
Claude_Monet	Claude_Monet_47.jpg	a willow tree on a hill by painting artist	화가가 그린 언덕에 있는 나무
Claude_Monet	Claude_Monet_48.jpg	a poppy field in front of a mountain	산 앞에 있는 포피밭
Claude_Monet	Claude_Monet_49.jpg	a painting of a harbor with boats and people	보트와 사람들이 있는 항구의 그림
Claude_Monet	Claude_Monet_50.jpg	a painting of a bridge over a pond	연못 위에 있는 다리의 그림
Claude_Monet	Claude_Monet_51.jpg	a portrait of a man with a beard and a hat	수염과 모자를 쓴 남자의 초상화
Claude_Monet	Claude_Monet_52.jpg	a painting of a palm tree in a garden	정원에 있는 팜나무 그림
Claude_Monet	Claude_Monet_53.jpg	a river with a city in the distance and a boat	거리에 있는 도시와 보트가 있는 강
Claude_Monet	Claude_Monet_54.jpg	a painting of a train station	기차역 그림
Claude_Monet	Claude_Monet_55.jpg	a painting of a church with people and trees	사람과 나무가 있는 교회의 그림
Claude_Monet	Claude_Monet_56.jpg	a painting of a field with a house in the clouds	구름 속에 집이 있는 밭의 그림
Claude_Monet	Claude_Monet_57.jpg	a painting of water lilies on a pond	연못에 물을 담은 그림
Claude_Monet	Claude_Monet_58.jpg	a painting of a lake with a dock and a fire	부두와 불이 붙은 호수 그림
Claude_Monet	Claude_Monet_59.jpg	a painting of a woman sitting in a garden with an umbrella	우산으로 정원에 앉아 있는 여성의 그림
Claude_Monet	Claude_Monet_60.jpg	a painting of a lake in front of a mountain	산 앞의 호수 그림
Claude_Monet	Claude_Monet_61.jpg	a painting of a cliff and the ocean	절벽과 바다의 그림
Claude_Monet	Claude_Monet_62.jpg	a painting of a rock in the ocean with a sunset	해질녘에 바위를 그린 그림
Claude_Monet	Claude_Monet_63.jpg	an image of a painting of a train on the tracks	선로에 있는 기차의 그림을 그린 이미지
Claude_Monet	Claude_Monet_64.jpg	a painting of two women sitting in a garden with an umbrella	우산으로 정원에 앉아 있는 두 여자의 그림
Claude_Monet	Claude_Monet_65.jpg	a painting of trees with a reflection in the water	물에 반사된 나무 그림
Claude_Monet	Claude_Monet_66.jpg	a painting of boats docked in the water	물에 부착된 보트 그림
Claude_Monet	Claude_Monet_67.jpg	an image of a painting of trees	나무 그림의 이미지
Claude_Monet	Claude_Monet_68.jpg	a painting of a ship docked in a harbor	항구에 도착한 배의 그림
Claude_Monet	Claude_Monet_69.jpg	a painting of a woman standing on a cliff by the ocean	바다 옆 절벽에 서 있는 여성의 그림
Claude_Monet	Claude_Monet_70.jpg	a garden with trees and a door	나무와 문이 있는 정원
Claude_Monet	Claude_Monet_71.jpg	an image of a painting of people walking in the snow	눈 속을 걷는 사람들의 그림
Claude_Monet	Claude_Monet_72.jpg	a painting of sailboats on the water near a dock	부두 근처의 물에 항해선을 그린 그림
Claude_Monet	Claude_Monet_73.jpg	a painting of a harbor with boats and a red sun	보트와 붉은 태양이 있는 항구의 그림
Diego_Rivera	Diego_Rivera_1.jpg	a painting of a parade of flags and a blue ball	깃발 퍼레이드와 파란 공을 그린 그림
Diego_Rivera	Diego_Rivera_2.jpg	a painting of a group of people and horses	사람과 말 한 무리의 그림
Diego_Rivera	Diego_Rivera_3.jpg	a painting of a woman baking cookies on a tray	트레이에서 여성 쿠키를 베이킹하는 그림
Diego_Rivera	Diego_Rivera_4.jpg	a painting of a group of people in a cave	동굴에 있는 사람들 무리의 그림
Diego_Rivera	Diego_Rivera_5.jpg	a painting of a group of people	한 무리의 사람들의 그림
Diego_Rivera	Diego_Rivera_6.jpg	a drawing of a woman with her back to the camera	카메라에 등을 대고 있는 여성의 그림
Diego_Rivera	Diego_Rivera_7.jpg	a painting of a group of people	한 무리의 사람들의 그림
Diego_Rivera	Diego_Rivera_8.jpg	a painting of a little girl in a plaid dress	화려한 드레스를 입은 어린 소녀의 그림
Diego_Rivera	Diego_Rivera_9.jpg	a painting of people and animals in the jungle	정글에서 사람과 동물을 그린 그림
Diego_Rivera	Diego_Rivera_10.jpg	a painting of a little girl in a yellow dress	노란색 드레스를 입은 어린 소녀의 그림
Diego_Rivera	Diego_Rivera_11.jpg	a painting on the wall of a room in a building	건물 안의 한 방 벽에 있는 그림
Diego_Rivera	Diego_Rivera_12.jpg	a mural on the side of a building	건물 옆에 있는 벽화
Diego_Rivera	Diego_Rivera_13.jpg	a painting of people praying in a church with candles	촛불을 들고 교회에서 기도하는 사람들의 그림
Diego_Rivera	Diego_Rivera_14.jpg	a large mural on the wall of a building	건물 벽에 있는 커다란 벽화
Diego_Rivera	Diego_Rivera_15.jpg	a painting of a group of women with vegetables	채소를 가진 여자 무리의 그림
Diego_Rivera	Diego_Rivera_16.jpg	a painting of a group of people around a table with candles	촛불이 들어 있는 테이블 주변 사람들의 그림
Diego_Rivera	Diego_Rivera_17.jpg	a painting of a woman sitting in a chair	의자에 앉아 있는 여자의 그림
Diego_Rivera	Diego_Rivera_18.jpg	a painting of a woman holding a little girl	어린 소녀를 안고 있는 여자의 그림
Diego_Rivera	Diego_Rivera_19.jpg	a painting of people working on a wall	벽에서 일하는 사람들의 그림
Diego_Rivera	Diego_Rivera_20.jpg	a painting of a woman sitting on the floor	바닥에 앉아 있는 여자의 그림
Diego_Rivera	Diego_Rivera_21.jpg	a painting of a religious scene with people in the water	물속의 사람들과 함께 하는 종교적 장면의 그림
Diego_Rivera	Diego_Rivera_22.jpg	a painting of some fruit on a table	탁자에 있는 과일 몇 그림
Diego_Rivera	Diego_Rivera_23.jpg	a painting of a group of people standing in a doorway	문 앞에 서 있는 사람들 무리의 그림
Diego_Rivera	Diego_Rivera_24.jpg	a painting of people working in a factory	공장에서 일하는 사람들의 그림
Diego_Rivera	Diego_Rivera_25.jpg	a painting of a man holding a piece of paper	종이 한 장을 들고 있는 남자의 그림
Diego_Rivera	Diego_Rivera_26.jpg	a painting of a group of people in a room	방에 있는 사람들의 그림
Diego_Rivera	Diego_Rivera_27.jpg	a painting of two men working on a wall	벽에서 일하는 두 남자의 그림
Diego_Rivera	Diego_Rivera_28.jpg	a painting of a group of people sitting in front of a flower	꽃 앞에 앉아 있는 사람들의 그림
Diego_Rivera	Diego_Rivera_29.jpg	a large mural on the wall of a building with stairs	계단이 있는 건물 벽에 있는 커다란 벽화
Diego_Rivera	Diego_Rivera_30.jpg	a painting of a woman with a group of flowers	꽃무리를 가진 여자의 그림
Diego_Rivera	Diego_Rivera_31.jpg	a painting of a man wearing a sombrero and holding a rifle	소총을 들고 있는 남자의 그림
Diego_Rivera	Diego_Rivera_32.jpg	a painting of a man sitting on a bed	침대에 앉아 있는 남자의 그림
Diego_Rivera	Diego_Rivera_33.jpg	a painting of a group of people on horses	말을 타고 있는 사람들 무리의 그림
Diego_Rivera	Diego_Rivera_34.jpg	a mural on the wall of a temple	절의 벽에 있는 벽화
Diego_Rivera	Diego_Rivera_35.jpg	a painting of a group of people in a cave	동굴에 있는 사람들 무리의 그림
Diego_Rivera	Diego_Rivera_36.jpg	a painting of a group of people playing musical instruments	뮤지컬 악기를 연주하는 사람들의 그림
Diego_Rivera	Diego_Rivera_37.jpg	a painting of a man standing with two horses	말 두 마리로 서 있는 남자의 그림
Diego_Rivera	Diego_Rivera_38.jpg	a painting of people around a tree with bananas	바나나를 가진 나무 주변 사람들의 그림
Diego_Rivera	Diego_Rivera_39.jpg	a painting of a man sitting on the floor with a bowl	그릇으로 바닥에 앉아 있는 남자의 그림
Diego_Rivera	Diego_Rivera_40.jpg	a painting of a woman laying in a bed in a room with sculptures	조각품이 있는 방에 침대에 누워 있는 여성의 그림
Diego_Rivera	Diego_Rivera_41.jpg	a painting of a man with a hat and a crowd of people	모자와 군중이 있는 남자의 그림
Diego_Rivera	Diego_Rivera_42.jpg	a painting of a man wearing a suit and tie	양복과 넥타이를 입은 남자의 그림
Diego_Rivera	Diego_Rivera_43.jpg	a painting of two hands cutting a tree with scissors	가위로 나무를 자르는 두 손의 그림
Diego_Rivera	Diego_Rivera_44.jpg	two young boys standing next to each other holding hats	서로 옆에 서 있는 두 젊은 소년 두 명이 모자를 들고 있다
Diego_Rivera	Diego_Rivera_45.jpg	a painting of a group of men carrying a bull	불을 들고 다니는 남자 무리의 그림
Diego_Rivera	Diego_Rivera_46.jpg	a large mural on the side of a building	건물 옆에 있는 커다란 벽화
Diego_Rivera	Diego_Rivera_47.jpg	a painting of a group of people standing around	주변에 서 있는 사람들의 그림
Diego_Rivera	Diego_Rivera_48.jpg	a drawing of a volcano spewing smoke	화산 연기가 뿜어지는 그림
Diego_Rivera	Diego_Rivera_49.jpg	a painting of a group of people in a room	방에 있는 사람들의 그림
Diego_Rivera	Diego_Rivera_50.jpg	a painting of the inside of a church	교회 내부의 그림
Diego_Rivera	Diego_Rivera_51.jpg	a painting of a woman standing in a cave	동굴에 서 있는 여성의 그림
Diego_Rivera	Diego_Rivera_52.jpg	a large mural on the wall of a restaurant	식당 벽에 있는 커다란 벽화
Diego_Rivera	Diego_Rivera_53.jpg	a painting of a group of people on horses	말을 타고 있는 사람들 무리의 그림
Diego_Rivera	Diego_Rivera_54.jpg	a painting of a religious scene with many different creatures	다양한 생물이 많은 종교적 장면의 그림
Diego_Rivera	Diego_Rivera_55.jpg	a painting of a woman laying in bed with a bowl of fruit	과일 한 그릇으로 침대에 누워 있는 여자의 그림
Diego_Rivera	Diego_Rivera_56.jpg	a painting of a man and a woman holding a basket	남자와 여자가 바구니를 들고 있는 그림
Diego_Rivera	Diego_Rivera_57.jpg	a painting of a horse sleeping in a cave	동굴에서 잠든 말의 그림
Diego_Rivera	Diego_Rivera_58.jpg	a painting of a table with a bowl of oranges and a glass of wine	오렌지 한 그릇과 와인 한 그릇의 테이블 그림
Diego_Rivera	Diego_Rivera_59.jpg	a woman in a kimono holding a pot and a skirt	냄비와 치마를 들고 있는 김노를 입은 여자
Diego_Rivera	Diego_Rivera_60.jpg	a painting of a person in the middle of an airplane	비행기 중간에 있는 사람의 그림
Diego_Rivera	Diego_Rivera_61.jpg	a painting of a woman sitting on the ground with a pot	냄비를 들고 땅에 앉아 있는 여자의 그림
Diego_Rivera	Diego_Rivera_62.jpg	a painting of a woman sitting on a couch with flowers	꽃이 있는 소파에 앉아 있는 여자의 그림
Diego_Rivera	Diego_Rivera_63.jpg	a painting of a man sitting on a bed	침대에 앉아 있는 남자의 그림
Diego_Rivera	Diego_Rivera_64.jpg	a painting of a woman sitting in front of a basket of flowers	꽃바구니 앞에 앉아 있는 여자의 그림
Diego_Rivera	Diego_Rivera_65.jpg	a painting of a woman standing in front of a mirror	거울 앞에 서 있는 여자의 그림
Diego_Rivera	Diego_Rivera_66.jpg	a painting of a group of men working in a factory	공장에서 일하는 남성 일당의 그림
Diego_Rivera	Diego_Rivera_67.jpg	a painting of a woman praying to an angel	천사에게 기도하는 여성의 그림
Diego_Rivera	Diego_Rivera_68.jpg	a painting of a group of people standing in a crowd	군중 속에 서 있는 사람들의 그림
Diego_Rivera	Diego_Rivera_69.jpg	a drawing of a woman with her hair	머리카락을 가진 여성의 그림
Diego_Rivera	Diego_Rivera_70.jpg	a painting of a sunset over the ocean	바다 위의 해질녘 그림
Diego_Velazquez	Diego_Velazquez_1.jpg	a painting of a man in a hat sitting at a table with a book	책으로 테이블에 앉아 있는 모자를 쓴 남자의 그림
Diego_Velazquez	Diego_Velazquez_10.jpg	a painting of a group of people around a woman	한 여자를 둘러싼 사람들의 그림
Diego_Velazquez	Diego_Velazquez_11.jpg	a painting of a group of men sitting around a table	테이블 주위에 앉아 있는 남자 무리의 그림
Diego_Velazquez	Diego_Velazquez_12.jpg	a painting of a man in a red dress holding a cane	지팡이를 들고 붉은 드레스를 입은 남자의 그림
Diego_Velazquez	Diego_Velazquez_13.jpg	a painting of a man wearing a hat with a mustache	수염을 쓴 모자를 쓴 남자의 그림
Diego_Velazquez	Diego_Velazquez_14.jpg	a painting of a man wearing a red hat	붉은 모자를 쓴 남자의 그림
Diego_Velazquez	Diego_Velazquez_15.jpg	a painting of a man with a gun and a dog	총과 개를 가진 남자의 그림
Diego_Velazquez	Diego_Velazquez_16.jpg	a statue of jesus crucified on a cross	십자가에 매달려 있는 토르투스 동상
Diego_Velazquez	Diego_Velazquez_100.jpg	a painting of a man holding a shovel	삽을 들고 있는 남자의 그림
Diego_Velazquez	Diego_Velazquez_101.jpg	a painting of a man in a black coat and a black hat	검은 코트와 검은 모자를 쓴 남자의 그림
Diego_Velazquez	Diego_Velazquez_102.jpg	a painting of a woman sitting in the middle of three people with a holy angel	세 사람 중간에 앉아 있는 여자의 그림
Diego_Velazquez	Diego_Velazquez_103.jpg	a painting of a man riding a horse	말을 타는 남자의 그림
Diego_Velazquez	Diego_Velazquez_104.jpg	a crucifixion of a man with his arms up on a cross	십자가에 팔을 들고 있는 한 남자의 십자가
Diego_Velazquez	Diego_Velazquez_105.jpg	a painting of a woman sitting on the floor with a dog	개와 함께 바닥에 앉아 있는 여자의 그림
Diego_Velazquez	Diego_Velazquez_106.jpg	a painting of a man sitting on the ground	땅에 앉아 있는 남자의 그림
Diego_Velazquez	Diego_Velazquez_107.jpg	a painting of a group of people in a room	방에 있는 사람들의 그림
Diego_Velazquez	Diego_Velazquez_108.jpg	a painting of a woman standing on a rock	바위에 서 있는 여자의 그림
Diego_Velazquez	Diego_Velazquez_109.jpg	a painting of a woman sitting in a bed with dolls	인형이 있는 침대에 앉아 있는 여자의 그림
Diego_Velazquez	Diego_Velazquez_110.jpg	a portrait of a man in a black jacket and white shirt	검은색 재킷과 흰색 셔츠를 입은 남자의 초상화
Diego_Velazquez	Diego_Velazquez_111.jpg	a painting of a man with a pencil in his hand	연필을 손에 쥐고 있는 남자의 그림
Diego_Velazquez	Diego_Velazquez_112.jpg	a painting of a group of people and horses	사람과 말 한 무리의 그림
Diego_Velazquez	Diego_Velazquez_113.jpg	a painting of a couple of people praying to an angel	천사에게 기도하는 두 사람의 그림
Diego_Velazquez	Diego_Velazquez_114.jpg	a painting of a group of people around a woman	한 여자를 둘러싼 사람들의 그림
Diego_Velazquez	Diego_Velazquez_115.jpg	a painting of a white horse with a red blanket on its back	등에 붉은 담요가 있는 흰 말의 그림
Diego_Velazquez	Diego_Velazquez_116.jpg	a painting of a group of men and a woman in a kitchen	부엌에 있는 남녀 일당의 그림
Diego_Velazquez	Diego_Velazquez_117.jpg	a painting of a woman in a black dress	검은색 드레스를 입은 여성의 그림
Diego_Velazquez	Diego_Velazquez_118.jpg	a painting of a group of people sitting around a table	테이블 주위에 앉아 있는 사람들의 그림
Diego_Velazquez	Diego_Velazquez_119.jpg	a painting of a group of people sitting around a table	테이블 주위에 앉아 있는 사람들의 그림
Diego_Velazquez	Diego_Velazquez_120.jpg	a painting of two men sitting at a table	테이블에 앉아 있는 두 남자의 그림
Diego_Velazquez	Diego_Velazquez_121.jpg	a painting of a man wearing a black cloak and a black hat	검은 코트와 검은 모자를 쓴 남자의 그림
Diego_Velazquez	Diego_Velazquez_122.jpg	a portrait of a man in a black jacket with a	검은색 재킷을 입은 남자의 초상화
Diego_Velazquez	Diego_Velazquez_123.jpg	a painting of two men laying on a bed looking in a mirror	거울을 보고 침대에 누워 있는 두 남자의 그림
Diego_Velazquez	Diego_Velazquez_124.jpg	a painting of a city with a river and a bridge	강과 다리가 있는 도시의 그림
Diego_Velazquez	Diego_Velazquez_125.jpg	a painting of the front of a building	건물 앞쪽 그림
Diego_Velazquez	Diego_Velazquez_126.jpg	a painting of two men walking in front of a building	건물 앞을 걷는 두 남자의 그림
Diego_Velazquez	Diego_Velazquez_127.jpg	a painting of a man in a black cloak with a paper	종이가 있는 검은색 코트를 입은 남자의 그림
Diego_Velazquez	Diego_Velazquez_128.jpg	a portrait of a young woman wearing a white veil	흰 베일을 입은 젊은 여성의 초상화
Edgar_Degas	Edgar_Degas_1.jpg	an image of a painting of two women	두 여자의 그림 이미지
Edgar_Degas	Edgar_Degas_2.jpg	a portrait of a young man in a military uniform	군복을 입은 젊은이의 초상화
Edgar_Degas	Edgar_Degas_3.jpg	a painting of two women sitting on the ground	땅에 앉아 있는 두 여자의 그림
Edgar_Degas	Edgar_Degas_4.jpg	a painting of people riding horses in a field	밭에서 말을 타는 사람들의 그림
Edgar_Degas	Edgar_Degas_5.jpg	a painting of a woman washing a fish	물고기를 씻는 여자의 그림
Edgar_Degas	Edgar_Degas_6.jpg	a painting of a woman and a baby in a bowl	그릇에 있는 여자와 아기의 그림
Edgar_Degas	Edgar_Degas_7.jpg	a painting of a cat standing on a table with its tail in a bowl	그릇에 꼬리를 물고 테이블에 서 있는 고양이의 그림
Edgar_Degas	Edgar_Degas_8.jpg	a painting of a woman standing in front of a table	테이블 앞에 서 있는 여자의 그림
Edgar_Degas	Edgar_Degas_9.jpg	a painting of a woman sitting on a table	테이블에 앉아 있는 여자의 그림
Edgar_Degas	Edgar_Degas_10.jpg	a painting of a dog with its head on a bowl	그릇에 머리를 얹은 개 그림
Edgar_Degas	Edgar_Degas_11.jpg	a painting of a monkey standing on a bowl	그릇에 서 있는 원숭이 그림
Edgar_Degas	Edgar_Degas_12.jpg	a painting of people riding horses in a field	밭에서 말을 타는 사람들의 그림
Edgar_Degas	Edgar_Degas_13.jpg	a painting of a man wearing a hat	모자를 쓴 남자의 그림
Edgar_Degas	Edgar_Degas_14.jpg	a painting of a woman laying on her back	등에 누워 있는 여자의 그림
Edgar_Degas	Edgar_Degas_15.jpg	dancers in the dancers in the painting by painting artist	그림 속 무용수들은 그림 예술가들로 구성된 무용수들
Edgar_Degas	Edgar_Degas_16.jpg	a painting of a woman sitting on a couch with a cigarette	담배를 들고 소파에 앉아 있는 여성의 그림
Edgar_Degas	Edgar_Degas_17.jpg	a drawing of a woman laying on a bed	침대에 누워 있는 여자의 그림
Edgar_Degas	Edgar_Degas_18.jpg	a painting of ballet dancers in a large room	큰 방에 있는 발레 무용수들의 그림
Edgar_Degas	Edgar_Degas_19.jpg	a painting of a woman sitting in a chair	의자에 앉아 있는 여자의 그림
Edgar_Degas	Edgar_Degas_20.jpg	a painting of a woman in a green dress	초록색 드레스를 입은 여성의 그림
Edgar_Degas	Edgar_Degas_21.jpg	a drawing of an anteater sitting on a wall	벽에 앉아 있는 조각가의 그림
Edgar_Degas	Edgar_Degas_22.jpg	a painting of a mountain with smoke coming out of it	연기가 나오는 산 그림
Edgar_Degas	Edgar_Degas_23.jpg	a painting of a mountain with clouds in the background	배경에 구름이 끼는 산의 그림
Edgar_Degas	Edgar_Degas_24.jpg	a group of people riding horses in a field	밭에서 말을 타는 사람들 무리
Edgar_Degas	Edgar_Degas_25.jpg	a painting of a woman in a bed with a nurse	간호사와 함께 침대에 있는 여성의 그림
Edgar_Degas	Edgar_Degas_26.jpg	a painting of a nude woman sitting on a bed	침대에 앉아 있는 누드 여성의 그림
Edgar_Degas	Edgar_Degas_27.jpg	a painting of three women walking in a field	밭에서 걷는 세 여자의 그림
Edgar_Degas	Edgar_Degas_28.jpg	a painting of a woman holding a bowl on a table	탁자에 그릇을 들고 있는 여자의 그림
Edgar_Degas	Edgar_Degas_29.jpg	a painting of a woman and a horse	여자와 말의 그림
Edgar_Degas	Edgar_Degas_30.jpg	a painting of three women dancing on a stage	무대에서 춤추는 세 여자의 그림
Edgar_Degas	Edgar_Degas_31.jpg	a painting of three ballet dancers in blue and yellow dresses	파란색과 노란색 드레스를 입은 발레 무용수 세 명의 그림
Edgar_Degas	Edgar_Degas_32.jpg	a painting of a group of ballet dancers in a field	밭에서 발레단체 무용수들의 그림
Edgar_Degas	Edgar_Degas_33.jpg	a drawing of a man and woman standing next to a horse	말 옆에 서 있는 남녀의 그림
Edgar_Degas	Edgar_Degas_34.jpg	a painting of a family standing in a living room with a piano and two children	피아노와 두 아이가 있는 거실에 서 있는 가족의 그림
Edgar_Degas	Edgar_Degas_35.jpg	a painting of a woman leaning against a tree	나무에 기대어 있는 여성의 그림
Edgar_Degas	Edgar_Degas_36.jpg	a painting of a family riding in a horse drawn carriage	말을 탄 가족이 마차를 타고 다니는 그림
Edgar_Degas	Edgar_Degas_37.jpg	three ballet dancers standing in front of a tree	나무 앞에 서 있는 발레 무용수 세 명
Edgar_Degas	Edgar_Degas_38.jpg	a painting of a woman sitting on the floor	바닥에 앉아 있는 여자의 그림
Edgar_Degas	Edgar_Degas_39.jpg	a woman standing in front of a painting of a city street	도시 거리의 그림 앞에 서 있는 여성
Edgar_Degas	Edgar_Degas_40.jpg	a woman sitting in front of a vase of flowers	꽃병 앞에 앉은 여자
Edgar_Degas	Edgar_Degas_41.jpg	a painting of a man in a suit and top hat	양복과 윗모자를 입은 남자의 그림
Edgar_Degas	Edgar_Degas_42.jpg	a painting of a man in a military uniform	군복을 입은 남자의 그림
Edgar_Degas	Edgar_Degas_43.jpg	a painting of a woman sleeping on a chair	의자에서 자는 여자의 그림
Edgar_Degas	Edgar_Degas_44.jpg	a painting of a group of prehistoric men playing a game of	선천적인 남자들이 게임을 하는 그룹의 그림
Edgar_Degas	Edgar_Degas_45.jpg	a drawing of a woman with her head	머리를 가진 여자의 그림
Edgar_Degas	Edgar_Degas_46.jpg	a painting of a horse sitting on a blanket	담요 위에 앉은 말 그림
Edgar_Degas	Edgar_Degas_47.jpg	a painting of a person laying on a bed	침대에 누워 있는 사람의 그림
Edgar_Degas	Edgar_Degas_48.jpg	a painting of a woman standing in front of a table	테이블 앞에 서 있는 여자의 그림
Edgar_Degas	Edgar_Degas_49.jpg	a painting of a man sitting on a rock	바위에 앉아 있는 남자의 그림
Edgar_Degas	Edgar_Degas_50.jpg	a painting of a man sleeping on a bed	침대에서 자는 남자의 그림
Edgar_Degas	Edgar_Degas_51.jpg	a painting of a horse laying on a couch	소파에 깔린 말 그림
Edgar_Degas	Edgar_Degas_52.jpg	a painting of a woman laying on the ground	땅에 누워 있는 여자의 그림
Edgar_Degas	Edgar_Degas_53.jpg	a painting of a woman in a bed	침대에 있는 여자의 그림
Edgar_Degas	Edgar_Degas_54.jpg	a painting of a woman leaning against a tree	나무에 기대어 있는 여성의 그림
Edgar_Degas	Edgar_Degas_55.jpg	a painting of a woman in a white dress	흰색 드레스를 입은 여성의 그림
Edgar_Degas	Edgar_Degas_56.jpg	a drawing of a woman with a child	아이를 둔 여성의 그림
Edgar_Degas	Edgar_Degas_57.jpg	a painting of a woman sitting on a bed	침대에 앉아 있는 여자의 그림
Edgar_Degas	Edgar_Degas_58.jpg	a drawing of a woman sitting on a couch with her back to a chair	의자에 등을 대고 소파에 앉아 있는 여성의 그림
Edgar_Degas	Edgar_Degas_59.jpg	a painting of a woman playing with a cat	고양이와 놀고 있는 여자의 그림
Edgar_Degas	Edgar_Degas_60.jpg	a painting of an animal laying on a table	탁자에 놓인 동물의 그림
Edgar_Degas	Edgar_Degas_61.jpg	an image of a painting of an elephant	코끼리 그림의 이미지
Edgar_Degas	Edgar_Degas_62.jpg	a painting of a horse laying on the ground	땅에 깔려 있는 말의 그림
Edgar_Degas	Edgar_Degas_63.jpg	a painting of a group of people standing around a painting	그림 주위에 서 있는 사람들의 그림
Edgar_Degas	Edgar_Degas_64.jpg	a painting of a street with houses and trees	집과 나무가 있는 거리의 그림
Edgar_Degas	Edgar_Degas_65.jpg	a painting of a group of people standing in a room	방에 서 있는 사람들의 그림
Edgar_Degas	Edgar_Degas_66.jpg	a painting of a group of women in a field	밭에 있는 여자 무리의 그림
Edgar_Degas	Edgar_Degas_67.jpg	a painting of a woman in a window	창문에 있는 여자의 그림
Edgar_Degas	Edgar_Degas_68.jpg	an image of a painting of people in a window	창문에 있는 사람들의 그림을 그린 이미지
Edgar_Degas	Edgar_Degas_69.jpg	a painting of two people sitting at a table	테이블에 앉아 있는 두 사람의 그림
Edgar_Degas	Edgar_Degas_70.jpg	a painting of a woman looking in a mirror	거울을 바라보는 여자의 그림
Edgar_Degas	Edgar_Degas_71.jpg	a painting of two women sitting on a table	테이블에 앉아 있는 두 여자의 그림
Edgar_Degas	Edgar_Degas_72.jpg	a painting of a woman sitting on a couch with an elephant	코끼리와 소파에 앉은 여자의 그림
Edgar_Degas	Edgar_Degas_73.jpg	a painting of two people playing music on a piano	피아노에서 음악을 연주하는 두 사람의 그림
Edgar_Degas	Edgar_Degas_74.jpg	an image of a painting of two women playing with a baby	아기와 함께 놀고 있는 두 여자의 그림
Edgar_Degas	Edgar_Degas_75.jpg	a painting of people riding horses in a field	밭에서 말을 타는 사람들의 그림
Edgar_Degas	Edgar_Degas_76.jpg	an oil painting of a group of men riding horses	말을 타는 남자 무리의 기름 그림
Edgar_Degas	Edgar_Degas_77.jpg	a painting of a group of people riding horses	말을 타는 사람들 무리의 그림
Edgar_Degas	Edgar_Degas_78.jpg	a painting of a group of people with a horse	말을 가진 사람들 무리의 그림
Edgar_Degas	Edgar_Degas_79.jpg	a painting of people and horses	사람과 말의 그림
Edgar_Degas	Edgar_Degas_80.jpg	a painting of a horse and a small dog	말과 작은 개의 그림
Edgar_Degas	Edgar_Degas_81.jpg	a painting of a group of dancers	무용수 모임의 그림
Edgar_Degas	Edgar_Degas_82.jpg	a painting of three women sitting on a bed	침대에 앉아 있는 세 여자의 그림
Edgar_Degas	Edgar_Degas_83.jpg	a painting of a woman sitting in a chair reading a newspaper	신문을 읽는 의자에 앉아 있는 여성의 그림
Edgar_Degas	Edgar_Degas_84.jpg	a painting of a woman leaning against a wall	벽에 기대어 있는 여성의 그림
